Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,In Development,Refined,Ready for test,In Testing,Blocked,Waiting for acceptance,Done,Abandoned,,,,,,
,,Average time taken (from table),,731.38h,190.29h,1333.36h,329.43h,292.78h,215.16h,618.02h,325.84h,200.57h,1283.27h,4195.47h,4316.60h,,,,,,
,SOL-1757,[Booking automation] create BOOKING-PODM automated tests for podm_return_from_investigation return scenario when OPAY do not match the original payment,,0.00h,,,,0.27h,,,,,,,,,,,,,
,SOL-1756,[TPH] [CORE DB] Select historical data for incoming payments,,0.30h,,,,,,,,,,,,,,,,,
,SOL-1755,[TPH][ISOX] Enable TPH listener in ISOX PROD,,0.00h,2.97h,,,,,,,,,,,,,,,,
,SOL-1754,Add Spacetime management access to Correspondent Accounts API,,19.15h,,,,,,,,,,,,,,,,,
,SOL-1753,Monitor appearance of ISO messages with system code TPH in production before go-live,,19.87h,,,,,,,,,,,,,,,,,
,SOL-1752,"[MVP][Report] Create Agent Charges CSV Report for Payment Operations; Generated by Sterling, Access via agreed location",,0.10h,,22.85h,,,,,,,,,,,,,,,
,SOL-1751,[TPH] Adjust TPH DB session/pool settings,,23.38h,,,,,,,,,,,,,,,,,
,SOL-1749,Migrate Correspondent Accounts API to Spring Boot 4,,24.50h,,,,,,,,,,,,,,,,,
,SOL-1748,Migrate Payment Initiator to Spring Boot 4,,24.55h,,,,,,,,,,,,,,,,,
,SOL-1747,Migrate PRDM to Spring Boot 4,,24.57h,,,,,,,,,,,,,,,,,
,SOL-1746,Migrate State Sync to Spring Boot 4,,24.57h,,,,,,,,,,,,,,,,,
,SOL-1745,Migrate Booking Service to Spring Boot 4,,24.58h,,,,,,,,,,,,,,,,,
,SOL-1744,Migrate Funds Update API to Spring Boot 4,,24.60h,,,,,,,,,,,,,,,,,
,SOL-1743,Migrate Namecheck API to Spring Boot 4,,24.60h,,,,,,,,,,,,,,,,,
,SOL-1742,Migrate Account Check API to Spring Boot 4,,24.62h,,,,,,,,,,,,,,,,,
,SOL-1741,[Booking automation] create BOOKING-PODM automated tests for podm_to_investigation scenario when there is NO PODM INSERT,,0.02h,,,0.00h,,27.25h,,,,,,,,,,,,
,SOL-1740,[Booking automation] create BOOKING-PODM automated tests fix rtrId part for all the tests,4/28/26,0.00h,,,,22.80h,,,,,,20.55h,,,,,,,
,SOL-1739,[Booking automation] create BOOKING-PODM automated tests for podm_to_investigation scenario when there is no initial insert (no return),4/28/26,0.00h,,,,25.65h,,,,,,19.23h,,,,,,,
,SOL-1737,[Booking-PODM] podm_reversed_from_investigation podm scenario not resolving to correct field values when there is no initial payment,,0.10h,25.48h,,,,20.67h,,,,,,,,,,,,
,SOL-1735,[Booking automation] create BOOKING-PODM automated tests for podm_reversed_from_investigation scenario when there is no initial insert (no return),4/27/26,0.00h,,,,1.98h,,,,,,44.90h,,,,,,,
,SOL-1734,[Booking-PODM] podm_credited podm scenario not resolving to correct field values when there is no initial payment,,1.03h,25.60h,,,0.00h,20.67h,,,,,,,,,,,,
,SOL-1733,[Booking automation] create BOOKING-PODM automated tests for podm_credited scenario when there is no initial insert (only return),,116.03h,,,,,,,,,,,,,,,,,
,SOL-1732,[MVP][PODM] /getSinglePayment should return data in 'rtrId' only for Return payment,,0.12h,0.00h,,,2.65h,65.57h,47.75h,,,,,,,,,,,
,SOL-1731,[Booking automation] create BOOKING-PODM automated tests for podm_credited scenario when there is no initial insert (no return),4/27/26,0.07h,,,,71.13h,,,,,,44.90h,,,,,,,
,SOL-1730,[Funds Update automation] Change all Annika's user accounts to TPH1/2/3 accounts from FU automation code,,0.03h,,1.30h,,115.38h,,,,,,,,,,,,,
,SOL-1729,[Booking automation] create BOOKING-PODM automated tests for podm_cancelled scenario when there is no initial insert,4/27/26,0.00h,,,,69.70h,,,,,,50.77h,,,,,,,
,SOL-1728,"[Booking automation] fix BOOKING-PODM automated tests UC3c-UC3d, UC3e return scenarios where OPAY is connected",4/24/26,0.43h,,,,22.80h,,,,,,120.63h,,,,,,,
,SOL-1727,[Booking automation] create BOOKING-PODM automated tests for podm_freezed_benef_trn_updated scenario when initial podm entry is not found,4/23/26,0.00h,,,,24.90h,,,,,,143.88h,,,,,,,
,SOL-1726,[Booking automation] create BOOKING-PODM automated tests for podm_credited_benef_trn_updated scenario when initial podm entry is not found,4/22/26,0.02h,,,,19.13h,,,,,,168.82h,,,,,,,
